"column"	"score"	"contig_impact_score"	"accuracy"
"score"	1	0.640919670613703	0.718644601514738
"contig_impact_score"	0.640919670613703	1	0.355492158980889
"accuracy"	0.718644601514738	0.355492158980889	1
