tsa.GABT.mstr.gbff	SRR606452	57175	Trinity v. ver1	Cocos nucifera; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; Liliopsida; Arecaceae; Arecoideae;Cocoseae; Attaleinae; Cocos.
tsa.GABZ.mstr.gbff	SRR606899,SRR606900,SRR606902,SRR606905,SRR606908,SRR606910,SRR606911,SRR606912	8786	abyss v. 1.3.4; trinity v. r2012-06-08;	Desmodus rotundus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Chiroptera; Microchiroptera;Phyllostomidae; Desmodontinae; Desmodus.
tsa.GACA.mstr.gbff	SRR491184,SRR494109,SRR488768,SRR494108	43198	Velvet v1.1 2011-7-25; Oases v0.2	Pohlia nutans; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Bryophyta;Bryophytina; Bryopsida; Bryidae; Bryanae; Bryales; Mniaceae;Pohlia.; 
tsa.GACB.mstr.gbff	SRR364671	45563	Trinity v. July 2012	Lotus corniculatus; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Fabales; Fabaceae; Papilionoideae; Loteae; Lotus.
tsa.GACE.mstr.gbff	SRR125759,SRR125760,SRR125761,SRR125762,SRR125763,SRR125764,SRR125765,SRR125766,SRR125767,SRR125768,SRR125769	99504	Velvet/Oases Velvet 1.0.17 Oases 0.1.18	Rauvolfia serpentina; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae;Vinceae; Rauvolfia.
tsa.GACF.mstr.gbff	SRR173032,SRR173033,SRR173034,SRR173035,SRR173036,SRR173037,SRR173038,SRR173039,SRR173040,SRR173041,SRR173042,SRR173043,SRR173044,SRR173045,SRR173046,SRR173047,SRR173048,SRR173049,SRR173050,SRR173052,SRR173053,SRR173054	120298	Velvet/Oases Velvet 1.0.17 Oases 0.1.18	Camptotheca acuminata; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;asterids; Cornales; Cornaceae; Camptotheca.
tsa.GACH.mstr.gbff	SRR567584	139002	Trinity v. r20110820	Chromolaena odorata; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;asterids; campanulids; Asterales; Asteraceae; Asteroideae;Heliantheae alliance; Eupatorieae; Chromolaena.
tsa.GACK.mstr.gbff	SRR521835,SRR521944,SRR521951,SRR521953	11227	abyss v. 1.3.4; trinity v. 2012-06-08;	Rhipicephalus pulchellus; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida;Acari; Parasitiformes; Ixodida; Ixodoidea; Ixodidae;Rhipicephalinae; Rhipicephalus; Rhipicephalus.
tsa.GACN.mstr.gbff	SRR611397	46881	Trinity release2011-11-26	Gerbera hybrid cultivar; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;asterids; campanulids; Asterales; Asteraceae; Mutisioideae;Mutisieae; Gerbera.
tsa.GACO.mstr.gbff	SRR596769	18752	Newbler 2.6	Priacma serrata; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Coleoptera; Archostemata;Cupedidae; Priacma.
tsa.GACP.mstr.gbff	SRR596161	137048	Newbler 2.6	Micropterix calthella; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Lepidoptera; Zeugloptera;Micropterigidae; Micropterix.
tsa.GACU.mstr.gbff	SRR620576	17645	Newbler 2.6	Nevrorthus apatelios; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Neuroptera; Nevrorthidae;Nevrorthus.; 
tsa.GACV.mstr.gbff	SRR621117	24590	Newbler 2.6	Philopotamus ludificatus; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Trichoptera; Annulipalpia;Philopotamoidea; Philopotamidae; Philopotaminae; Philopotamus.
tsa.GACW.mstr.gbff	SRR596983	55363	Newbler 2.6	Carabus granulatus; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Coleoptera; Adephaga;Caraboidea; Carabidae; Carabinae; Carabini; Carabina; Carabus;Carabus.; 
tsa.GACX.mstr.gbff	SRR621115	29612	Newbler 2.6	Raphidia ariadne; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Raphidioptera; Raphidiidae;Raphidia.; 
tsa.GACY.mstr.gbff	SRR619393	60618	Newbler 2.6	Mengenilla moldrzyki; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Strepsiptera; Mengenillidia;Mengenillidae; Mengenilla.
tsa.GACZ.mstr.gbff	SRR620757	24668	Newbler 2.6	Tipula maxima; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Nematocera;Tipuloidea; Tipulidae; Tipula.
tsa.GADA.mstr.gbff	SRR621116	9812	Newbler 2.6	Xyela alpigena; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Hymenoptera; Xyeloidea;Xyelidae; Xyela.
tsa.GADB.mstr.gbff	SRR621341	44840	Newbler 2.6	Nannochorista philpotti; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Mecoptera; Nannochoristidae;Nannochorista.; 
tsa.GADC.mstr.gbff	SRR627546	66310	SOAPdenovo v. 1.03	Plukenetia volubilis; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Malpighiales; Euphorbiaceae; Acalyphoideae;Plukenetieae; Plukenetia.
tsa.GADD.mstr.gbff	SRR623025	24575	Trinity Release 5-19-2011; TGICL V2.1	Pyropia haitanensis; Eukaryota; Rhodophyta; Bangiophyceae; Bangiales; Bangiaceae;Pyropia.; 
tsa.GADH.mstr.gbff	SRR621403	56979	Newbler 2.6	Corydalinae sp. KMRSPBM-2012; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Megaloptera; Corydalidae;Corydalinae; Unclassified Corydalinae.
tsa.GADN.mstr.gbff	SRR492481,SRR492482,SRR495265,SRR495266,SRR495267	110227	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GADO.mstr.gbff	SRR540256,SRR540257	153960	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GADP.mstr.gbff	SRR544884	15456	abyss v. 2010	Drosophila ercepeae; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Brachycera;Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora.
tsa.GADQ.mstr.gbff	SRR544886	19161	abyss v. 2009	Drosophila malerkotliana pallens; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Brachycera;Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora.
tsa.GADR.mstr.gbff	SRR544889	29641	abyss v. 2011	Drosophila pseudoananassae nigrens; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Brachycera;Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora.
tsa.GADS.mstr.gbff	SRR544885	19353	abyss v. 2010	Drosophila merina; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Brachycera;Muscomorpha; Ephydroidea; Drosophilidae; Drosophila; Sophophora.
tsa.GADT.mstr.gbff	SRR527276	110326	Trinity v. Trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GADU.mstr.gbff	SRR527277	79690	Trinity v. Trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GADV.mstr.gbff	SRR527278	97397	Triniyy v. Trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GADW.mstr.gbff	SRR527279	46686	Trinity v. trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GADY.mstr.gbff	SRR527281	80667	Trinity v. trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
tsa.GADZ.mstr.gbff	SRR527285	50822	Trinity v. Trinityrnaseq_r2011-10-29	Camelus dromedarius; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Tylopoda;Camelidae; Camelus.
